YCL001W	3	111914	112480	+
YCL001W-A	3	113078	113539	+
YCL001W-B	3	113768	114022	+
YCL002C	3	110843	111674	-
YCL004W	3	109105	110670	+
YCL005W	3	108021	108791	+
YCL005W-A	3	107023	107417	+
YCL008C	3	105696	106853	-
YCL009C	3	104619	105548	-
YCL010C	3	103571	104350	-
YCL011C	3	102075	103358	-
YCL012C	3	101317	101788	-
YCL014W	3	96281	101191	+
YCL016C	3	94621	95763	-
YCL017C	3	92777	94270	-
YCL018W	3	91324	92418	+
YCL021W-A	3	83620	83997	+
YCL024W	3	79162	82275	+
YCL025C	3	76018	77919	-
YCL026C-A	3	74704	75285	-
YCL026C-B	3	73405	73986	-
YCL027W	3	71803	73341	+
YCL028W	3	70150	71367	+
YCL029C	3	68599	69921	-
YCL030C	3	65934	68333	-
YCL031C	3	64675	65568	-
YCL032W	3	63441	64481	+
YCL033C	3	62776	63282	-
YCL034W	3	61658	62722	+
YCL035C	3	60841	61173	-
YCL036W	3	59026	60726	+
YCL037C	3	57374	58678	-
YCL038C	3	54941	56527	-
YCL039W	3	52645	54882	+
YCL040W	3	50838	52340	+
YCL042W	3	50584	50943	+
YCL043C	3	48653	50221	-
YCL044C	3	47111	48364	-
YCL045C	3	44623	46905	-
YCL047C	3	43661	44437	-
YCL048W	3	42165	43556	+
YCL048W-A	3	41488	41727	+
YCL049C	3	39786	40724	-
YCL050C	3	37836	38801	-
YCL051W	3	35865	37616	+
YCL052C	3	34143	35393	-
YCL054W	3	31449	33974	+
YCL055W	3	27929	28936	+
YCL056C	3	26925	27359	-
YCL057C-A	3	24032	24325	-
YCL057W	3	24768	26906	+
YCL058W-A	3	23584	23925	+
YCL059C	3	22429	23379	-
YCL061C	3	18816	22106	-
YCL063W	3	17290	18561	+
YCL064C	3	15798	16880	-
YCL066W	3	13282	13809	+
YCL067C	3	12386	13018	-
YCL068C	3	11503	12285	-
YCL069W	3	9706	11082	+
YCL073C	3	6479	8326	-
YCR002C	3	117378	118346	-
YCR003W	3	118618	119169	+
YCR004C	3	119573	120316	-
YCR005C	3	120944	122326	-
YCR007C	3	126009	126728	-
YCR008W	3	128468	130279	+
YCR009C	3	130743	131540	-
YCR010C	3	132271	133122	-
YCR011C	3	133722	136871	-
YCR012W	3	137744	138994	+
YCR014C	3	139183	140931	-
YCR015C	3	141215	142168	-
YCR016W	3	143632	144504	+
YCR017C	3	144771	147632	-
YCR018C	3	148236	148901	-
YCR019W	3	152835	153926	+
YCR020C	3	154010	154657	-
YCR020C-A	3	154828	155094	-
YCR020W-B	3	155318	155554	+
YCR021C	3	156105	157103	-
YCR023C	3	158534	160369	-
YCR024C	3	160740	162218	-
YCR024C-A	3	162941	163063	-
YCR024C-B	3	162595	162861	-
YCR026C	3	164107	166335	-
YCR027C	3	167366	167995	-
YCR028C	3	170882	172420	-
YCR028C-A	3	172946	173436	-
YCR030C	3	173822	176434	-
YCR031C	3	177496	178216	-
YCR032W	3	179516	186019	+
YCR033W	3	186485	190165	+
YCR034W	3	190588	191631	+
YCR035C	3	191830	193014	-
YCR036W	3	193293	194294	+
YCR037C	3	194410	197181	-
YCR038C	3	197617	199545	-
YCR039C	3	199542	200174	-
YCR040W	3	200438	200965	+
YCR042C	3	201170	205393	-
YCR043C	3	206257	206640	-
YCR044C	3	206873	207946	-
YCR045C	3	208131	209606	-
YCR046C	3	209910	210419	-
YCR047C	3	210714	211541	-
YCR048W	3	211925	213757	+
YCR050C	3	213460	213768	-
YCR051W	3	214067	214735	+
YCR052W	3	214990	216441	+
YCR053W	3	216693	218237	+
YCR054C	3	218372	220063	-
YCR057C	3	220453	223224	-
YCR059C	3	223450	224226	-
YCR060W	3	224395	224730	+
YCR061W	3	225559	227454	+
YCR063W	3	228314	228787	+
YCR065W	3	229306	231000	+
YCR066W	3	231496	232959	+
YCR067C	3	233121	236318	-
YCR068W	3	237210	238772	+
YCR069W	3	239051	240007	+
YCR071C	3	240099	240539	-
YCR072C	3	240801	242348	-
YCR073C	3	242585	246580	-
YCR073W-A	3	246960	247907	+
YCR075C	3	248030	248812	-
YCR075W-A	3	248972	249199	+
YCR076C	3	249290	250042	-
YCR077C	3	250235	252625	-
YCR079W	3	252842	254170	+
YCR081W	3	254368	258651	+
YCR082W	3	258880	259266	+
YCR083W	3	259575	259958	+
YCR084C	3	260308	262449	-
YCR086W	3	263389	263961	+
YCR087C-A	3	264003	264464	-
YCR088W	3	265065	266843	+
YCR089W	3	267431	272260	+
YCR090C	3	272312	272860	-
YCR091W	3	274401	276563	+
YCR092C	3	276761	279817	-
YCR093W	3	280114	286440	+
YCR094W	3	286759	287934	+
YCR095C	3	288167	289255	-
YCR095W-A	3	289636	289794	+
YCR096C	3	293176	293535	-
YCR097W	3	293832	294318	+
YCR098C	3	297046	298602	-
YCR099C	3	300829	301296	-
YCR100C	3	301268	302218	-
YCR101C	3	302479	303027	-
YCR102C	3	304358	305464	-
YCR104W	3	307798	308172	+
YCR105W	3	309067	310152	+
YCR106W	3	310955	313453	+
YCR107W	3	313887	314978	+
YCR108C	3	315994	316185	-
